Badajoz;2022-08-03;ALBERGUE ALANGE;ALANGE;NO
Caceres;2012-02-13;LOS TRES PICOS DE LA VERA;ALDEANUEVA DE LA VERA;SI
Caceres;2013-05-03;LA CASA DE MI ABUELA;ALDEANUEVA DEL CAMINO;SI
Caceres;2009-07-02;EL PERICUTO;ALISEDA;SI
Badajoz;2019-12-20;SAN ANDRES;ALJUCEN;NO
Caceres;2019-04-26;HOSTEL DIVINO MORALES;ARROYO DE LA LUZ;NO
Caceres;2003-03-25;VIA DE LA PLATA;BANOS DE MONTEMAYOR;NO
Caceres;2009-10-13;EL SOLITARIO;BANOS DE MONTEMAYOR;NO
Badajoz;2013-02-15;PALACETE DE SANTIAGO;BARCARROTA;SI
Badajoz;2017-11-16;LAS QUINIENTAS;BERLANGA;NO
Caceres;2003-04-29;LAS VELETAS;CACERES;NO
Caceres;2019-12-12;HOSTEL CASA VARGAS & FIGUEROA;CACERES;NO
Badajoz;2012-11-13;ESTACION DE TREN;CAMPANARIO;SI
Badajoz;2017-12-11;CAMPILLO ILUSION;CAMPILLO DE LLERENA;SI
Caceres;2014-10-08;HOSTEL CANAVERAL;CANAVERAL;SI
Caceres;2011-08-24;SENORA ELENA;CARCABOSO;SI
Badajoz;2019-05-10;EL CARRASCALEJO;CARRASCALEJO (EL);NO
Caceres;2016-02-02;ALBERGUE TURISTICO CASAR DE CACERES;CASAR DE CACERES;NO
Caceres;2010-06-09;AURORA BOREAL;CASAS DEL MONTE;SI
Badajoz;2018-02-02;SAN MATIAS;CASTILBLANCO;NO
Badajoz;2012-12-05;ISLA DEL ZUJAR;CASTUERA;SI
Badajoz;2021-08-10;CRUCEROS ALQUEVA;CHELES;NO
Caceres;1999-09-01;LA ALDEA DE YUSTE;CUACOS DE YUSTE;SI
Caceres;2001-09-02;HOSTEL EL LAGO CACERES;CUACOS DE YUSTE;SI
Caceres;2014-09-10;ALBERGUE TURISTICO DE GALISTEO;GALISTEO;SI
Caceres;2007-02-08;LA HIGUERA;GARROVILLAS DE ALCONTAR;NO
Caceres;2018-06-12;VIA DE LA PLATA - EMBALSE DE ALCANTARA;GARROVILLAS DE ALCONTAR;SI
Caceres;2001-10-03;VALLE DEL AMBROZ;HERVAS;NO
Caceres;2018-06-05;VIA DE LA PLATA;HERVAS;NO
Badajoz;2019-02-28;HIGUERA SERENA;HIGUERA DE LA SERENA;NO
Caceres;2019-08-13;ALBERGUE MUNICIPAL DE LOGROSAN;LOGROSAN;NO
Caceres;2021-06-09;LA FONTANINA;MATA DE ALCANTARA;NO
Badajoz;2010-06-09;CORTIJO LOS COTOS;MONESTERIO;SI
Badajoz;2019-09-10;MIRAMOLIN;MONTEMOLIN;SI
Caceres;2005-01-19;SAN BLAS;OLIVA DE PLASENCIA;NO
Caceres;2010-07-26;LA ALEGRIA;PESCUEZA;SI
Caceres;2012-02-14;SANTA ANA;PLASENCIA;NO
Caceres;2017-11-16;VIA DE LA PLATA DE SAN GIL;PLASENCIA;NO
Caceres;2015-07-07;LA JARILLA;PLASENZUELA;SI
Badajoz;2022-03-14;LA VEGA DEL MADRONAL;SAN VICENTE DE ALCANTARA;NO
Caceres;2005-05-17;EL BURACO;SANTIAGO DE ALCANTARA;NO
Badajoz;2021-06-18;ALBERGUE MUNICIPAL EL HOSPITAL;TALARRUBIAS;SI
Caceres;2010-06-09;QUINTO PINO;TALAYUELA;SI
Caceres;2007-08-29;ALBERJERTE;TORNO (EL);NO
Badajoz;2011-10-24;ROJO PLATA;TORREMEJIA;SI
Badajoz;2018-01-10;ALBERGUE TURISTICO CORNALVO;TRUJILLANOS;SI
Caceres;2021-10-01;ALAGAN NATURA;VALDEOBISPO;NO
Badajoz;2013-09-03;EXTRENATURA ALOJAMIENTO;VILLAFRANCA DE LOS BARROS;SI
Badajoz;2015-06-11;LAS CABALLERAS;VILLAFRANCA DE LOS BARROS;NO
Badajoz;2020-02-27;LA ALMAZARA;VILLAFRANCA DE LOS BARROS;SI
Caceres;2020-05-14;HOSTEL EL ENCUENTRO;VILLANUEVA DE LA VERA;NO
Caceres;2021-11-17;LAS CABANAS DE VILLANUEVA DE LA VERA;VILLANUEVA DE LA VERA;NO
Caceres;2023-01-18;EL CIELO DE LA VERA;VILLANUEVA DE LA VERA;NO
Caceres;2014-09-19;CABANAS EN LOS ARBOLES DE EXTREMADURA;VILLASBUENAS DE GATA;SI
Badajoz;2011-04-26;CONVENTO DE SAN FRANCISCO;ZAFRA;SI
Badajoz;2008-07-28;ZARZA CAPILLA;ZARZA-CAPILLA;SI